filename,movement,subject,episode,label,dimensionless_jerk,duration_s,mean_acceleration_mm_s2,mean_jerk_mm_s3,mean_velocity_mm_s,n_frames,peak_acceleration_mm_s2,peak_jerk_mm_s3,peak_velocity_mm_s,range_x_mm,range_y_mm,range_z_mm,rms_jerk_mm_s3,sparc,std_jerk_mm_s3,std_velocity_mm_s,velocity_x_mean,velocity_y_mean,velocity_z_mean
m07_s02_e01_positions_inc.txt.gz,m07,s02,e01,1,-8.056269,1.770000,6034.422067,48745.551383,1252.816032,177,9046.850435,201394.227254,2321.247424,195.782965,406.102237,1000.189436,55355.165865,-2.879029,26231.004715,828.372672,-52.639970,124.722528,-60.926217
m07_s02_e02_positions_inc.txt.gz,m07,s02,e02,1,-8.611081,2.480000,5429.784438,42694.907608,1083.459364,248,10707.669294,102649.806968,2633.241045,149.607723,460.730925,1078.834298,49967.252296,-3.302389,25959.028610,829.278436,-6.140806,0.075753,-5.583318
m07_s02_e03_positions_inc.txt.gz,m07,s02,e03,1,-8.549330,2.140000,6789.475143,54606.672313,1270.800410,214,11088.328963,106420.589842,2638.156566,350.511178,357.705940,1070.893390,60554.062062,-3.114301,26170.704445,871.049806,5.480369,5.301774,-1.171039
m07_s02_e04_positions_inc.txt.gz,m07,s02,e04,1,-9.019451,2.830000,4946.622912,38736.487299,955.198917,283,9572.456744,132366.420272,2405.131192,114.963192,533.686263,1018.737059,45920.657636,-3.352899,24661.535830,792.009999,8.624014,-9.471381,10.631612
m07_s02_e05_positions_inc.txt.gz,m07,s02,e05,1,-8.499705,2.320000,5271.739960,41443.506556,1022.940149,232,9777.982973,105069.855998,2430.043225,106.939868,482.923619,938.500079,48202.488947,-3.310248,24615.355067,760.790100,-9.970336,1.686735,-8.147030
m07_s02_e06_positions_inc.txt.gz,m07,s02,e06,1,-8.495029,2.470000,4392.536345,33237.840136,947.697666,247,8391.383002,90140.592701,2132.871177,104.008001,500.935706,910.486030,38423.007376,-3.298854,19276.241307,680.756155,-5.079461,5.726999,4.770868
m07_s02_e07_positions_inc.txt.gz,m07,s02,e07,1,-8.442555,2.690000,3848.292981,27428.547261,870.232056,269,6766.770449,63943.549225,2042.251222,261.218484,460.684538,907.543150,31532.486594,-3.212485,15555.465468,641.131881,-5.043171,5.691862,-1.951582
m07_s02_e08_positions_inc.txt.gz,m07,s02,e08,1,-8.704766,3.480000,2794.461193,18055.966909,671.529859,348,6617.525889,73570.617480,1954.233904,119.531889,487.314762,902.444896,23378.873696,-2.863355,14851.053642,631.580294,-2.906257,-2.705460,0.574178
m07_s02_e09_positions_inc.txt.gz,m07,s02,e09,1,-7.838693,2.700000,2205.685746,12904.151485,604.879323,270,4441.925382,27939.513576,1249.241819,51.037249,475.051531,578.658376,14182.455313,-2.615245,5884.293768,406.425224,-1.127884,-3.610403,-1.031119
m07_s02_e10_positions_inc.txt.gz,m07,s02,e10,1,-7.913718,2.560000,2252.075070,13964.809099,615.351843,256,4781.842561,40729.381016,1270.427077,52.212895,474.939083,553.802300,16219.292222,-2.773755,8249.214932,386.929421,3.352701,3.989080,1.849457
m07_s03_e01_positions_inc.txt.gz,m07,s03,e01,1,-8.943736,2.950000,2544.367452,21281.000210,682.030797,295,6651.038380,139329.346750,1660.716876,114.163082,385.970438,800.893596,28686.010488,-4.138463,19235.545944,505.082174,-13.659228,-0.974491,-3.230748
m07_s03_e02_positions_inc.txt.gz,m07,s03,e02,1,-9.031577,3.000000,3216.675552,24277.676418,764.051874,300,6451.965984,117715.590690,1675.450426,215.512574,349.895414,915.958552,29487.072399,-3.645265,16735.646580,545.009092,16.632174,-5.935420,3.778804
m07_s03_e03_positions_inc.txt.gz,m07,s03,e03,1,-8.853018,3.000000,2906.815451,24850.733128,757.624091,300,6216.613816,120669.218813,1821.194113,215.541212,389.107719,879.061879,29314.522736,-3.375353,15549.350669,494.741509,4.060843,0.032612,-1.984294
m07_s03_e04_positions_inc.txt.gz,m07,s03,e04,1,-9.315615,3.850000,2041.825197,13234.862090,647.053308,385,4165.181046,89014.171851,1260.260898,225.382188,420.615741,929.621809,17584.475931,-3.368185,11578.092210,415.912548,-6.080631,10.809338,0.172605
m07_s03_e05_positions_inc.txt.gz,m07,s03,e05,1,-9.100254,3.420000,2440.176446,17149.078831,691.320254,342,6542.274874,111380.529155,1532.889010,189.832473,350.505111,940.027146,22938.586894,-3.582673,15234.430214,465.413643,1.907219,-13.694729,1.771679
m07_s03_e06_positions_inc.txt.gz,m07,s03,e06,1,-8.802769,3.640000,2055.475533,13392.012468,604.554632,364,3803.177734,55416.299243,1334.853596,132.440561,399.458559,861.983061,15677.562835,-3.548348,8151.072230,437.538436,1.385191,0.187688,0.404179
m07_s03_e07_positions_inc.txt.gz,m07,s03,e07,1,-8.872084,3.990000,1670.244693,10329.367156,551.934852,399,3481.470869,46301.085252,1166.952938,86.546078,373.698439,896.128071,12363.534190,-3.538727,6794.199865,407.592178,-1.075501,3.411438,-0.399895
m07_s03_e08_positions_inc.txt.gz,m07,s03,e08,1,-8.864831,3.670000,2208.244227,13909.124402,623.097971,367,4527.436225,79988.103767,1474.355803,149.586438,362.884316,917.972915,17643.180153,-4.074848,10854.402991,513.374796,-3.261474,0.613809,-1.298087
m07_s03_e09_positions_inc.txt.gz,m07,s03,e09,1,-9.000370,3.040000,2461.323146,17793.257650,716.548307,304,6237.192879,116712.391743,1403.262805,243.615225,391.094256,852.816916,23836.042744,-3.509201,15860.545890,449.842871,-7.134963,0.221781,-3.379979
m07_s03_e10_positions_inc.txt.gz,m07,s03,e10,1,-10.478367,3.270000,3000.856705,28467.086123,748.861680,327,13833.650771,255183.336800,1476.073964,223.893755,370.337699,938.651305,47058.167624,-3.402157,37471.270965,435.865308,12.720844,15.771471,0.896022
m07_s04_e01_positions_inc.txt.gz,m07,s04,e01,1,-7.689489,1.700000,2402.046021,16047.816147,515.056227,170,3972.193879,77894.402254,930.296890,26.010141,360.761958,230.057601,19620.017915,-2.623114,11287.723415,289.993283,-3.202226,7.919216,-6.258450
m07_s04_e02_positions_inc.txt.gz,m07,s04,e02,1,-8.008821,2.220000,2746.062201,19028.855078,626.080370,222,4092.360068,46017.339774,1263.338817,34.453582,412.453798,484.148742,20945.168174,-2.770109,8752.299370,411.356953,-0.318412,-0.384229,3.261617
m07_s04_e03_positions_inc.txt.gz,m07,s04,e03,1,-8.112307,2.260000,3529.144817,25028.332729,820.551977,226,9293.312601,92245.559454,1867.256666,47.843428,442.453302,709.843573,31739.970753,-2.468969,19519.434014,511.310458,4.046380,-1.713927,3.966434
m07_s04_e04_positions_inc.txt.gz,m07,s04,e04,1,-8.015826,2.370000,2958.445725,18961.155212,744.976610,237,4857.451738,72561.990709,1467.475553,49.904967,423.992374,676.565341,22134.146632,-2.755782,11419.064767,422.237472,8.751020,3.207380,-4.777070
m07_s04_e05_positions_inc.txt.gz,m07,s04,e05,1,-8.745411,2.770000,3810.142015,25537.180537,1034.948244,277,8730.390835,113145.515104,1812.896924,85.817363,417.176917,1096.510001,31167.028114,-2.313828,17867.178056,480.568989,-5.664591,9.023176,-9.379797
m07_s04_e06_positions_inc.txt.gz,m07,s04,e06,1,-8.361210,2.530000,2609.318109,18197.058126,662.863433,253,5339.575863,52450.742917,1316.497290,73.129248,429.920534,622.809984,21397.004483,-2.851672,11256.059541,385.828458,6.510260,-6.651675,21.085253
m07_s04_e07_positions_inc.txt.gz,m07,s04,e07,1,-9.012584,2.600000,5851.314037,43191.123011,1227.258689,260,10468.453341,140010.712739,2371.797168,100.792476,494.133561,1159.250807,51247.811908,-2.928675,27583.783611,793.236149,-11.774395,-1.621049,-12.771058
m07_s04_e08_positions_inc.txt.gz,m07,s04,e08,1,-8.642107,2.350000,5231.275624,39049.827172,1145.673203,235,8553.711747,115673.374145,2166.878449,96.031164,410.591893,1046.470364,45273.339573,-2.952098,22908.214115,671.241122,-11.521798,0.688410,-2.760853
m07_s04_e09_positions_inc.txt.gz,m07,s04,e09,1,-8.715963,2.480000,5305.462067,37846.011425,1207.562752,248,8411.317790,154026.290251,2252.288512,111.849501,422.928764,1122.206267,45039.525551,-3.149483,24417.990929,649.534838,25.491634,4.183927,1.795000
m07_s04_e10_positions_inc.txt.gz,m07,s04,e10,1,-8.769437,2.610000,5721.696113,38626.988355,1271.216576,261,8708.227192,136570.200299,2394.664814,187.487099,537.528960,1188.638480,45555.729948,-2.935313,24151.196694,726.156933,-16.139893,2.298377,-12.419980
m07_s05_e01_positions_inc.txt.gz,m07,s05,e01,1,-8.511284,2.030000,3505.450430,25367.070942,963.992710,203,7671.043608,146380.815081,1388.766789,56.956562,268.767071,877.605654,33852.222137,-2.781519,22416.169510,393.600099,-19.942686,-8.120835,3.825201
m07_s05_e02_positions_inc.txt.gz,m07,s05,e02,1,-9.195554,2.210000,3201.470984,28861.253220,824.665581,221,10508.589401,209637.519679,1509.565055,85.225029,338.640179,775.795817,45609.212638,-3.470092,35316.120116,457.103968,4.604202,7.668679,-3.912309
m07_s05_e03_positions_inc.txt.gz,m07,s05,e03,1,-9.155351,2.240000,5257.739588,43445.624562,1203.845001,224,13774.830186,306128.325826,2134.564308,111.030268,367.458993,1105.627038,61943.611581,-3.273309,44153.014871,659.041433,-22.217464,-4.379597,-9.528069
m07_s05_e04_positions_inc.txt.gz,m07,s05,e04,1,-8.302013,2.030000,4433.103001,35658.471572,1132.150772,203,7960.376216,163274.528329,2018.952530,84.538128,324.563606,991.683816,44324.237895,-2.723312,26327.010277,479.696252,26.371267,1.682451,16.892151
m07_s05_e05_positions_inc.txt.gz,m07,s05,e05,1,-8.408652,2.010000,4403.473871,34492.841095,1032.871012,201,8399.742589,168874.237726,1895.491754,65.917795,336.336121,906.921569,44549.566869,-2.968383,28194.109694,544.153730,2.468950,-5.490989,0.228908
m07_s05_e06_positions_inc.txt.gz,m07,s05,e06,1,-8.883735,2.300000,4235.921350,43897.449218,1039.664707,230,12244.456661,232216.705065,2446.113416,73.554315,441.183144,1013.524577,59561.201496,-2.766497,40256.063838,525.021111,5.250988,16.381462,14.088998
m07_s05_e07_positions_inc.txt.gz,m07,s05,e07,1,-8.859939,2.090000,6067.718519,50048.611842,1308.770045,209,13919.231339,283829.261872,2288.417181,54.232610,372.498262,1109.603391,63566.329237,-2.915763,39189.471360,617.038724,-21.869776,-16.809945,-30.232833
m07_s05_e08_positions_inc.txt.gz,m07,s05,e08,1,-8.745402,2.130000,3089.497965,24887.276881,825.247978,213,10206.409840,220512.794354,1511.558582,106.217878,369.699745,752.331250,38538.566710,-3.038840,29425.237017,421.683921,24.207993,17.200938,11.033455
m07_s05_e09_positions_inc.txt.gz,m07,s05,e09,1,-8.549507,2.150000,3563.699731,28467.577382,891.771654,215,7813.737862,146577.127193,1652.992179,217.134379,354.125556,817.179257,37680.357304,-2.924863,24686.157348,450.522054,-32.651339,34.972337,-21.581574
m07_s05_e10_positions_inc.txt.gz,m07,s05,e10,1,-8.634634,2.320000,3545.398901,25417.848702,903.755212,232,10256.922930,218654.204060,1806.904961,91.062059,417.781965,872.730813,38343.361811,-2.777471,28707.949462,489.251580,28.513417,-21.795915,10.401038
m07_s06_e01_positions_inc.txt.gz,m07,s06,e01,1,-8.140264,1.610000,6167.887424,57434.912552,1058.978458,161,10839.214378,157584.176286,2315.062795,97.761007,339.088428,860.347402,66368.154349,-3.109143,33256.017980,739.816583,0.468685,182.319329,-183.465747
m07_s06_e02_positions_inc.txt.gz,m07,s06,e02,1,-8.940870,2.230000,5086.930228,44766.839257,950.708695,223,9382.313805,155424.231661,1903.340172,68.146705,346.893489,863.907119,49951.024238,-3.259369,22159.307873,656.968982,-11.196800,9.666191,-6.121599
m07_s06_e03_positions_inc.txt.gz,m07,s06,e03,1,-8.729647,2.200000,4274.396442,37809.581881,835.929478,220,7545.383164,123617.646438,1810.824974,55.584470,351.064818,741.482686,43637.631982,-3.409713,21787.116444,618.938462,-3.603709,-0.491472,-2.870282
m07_s06_e04_positions_inc.txt.gz,m07,s06,e04,1,-8.506240,2.420000,3454.248170,25942.954971,858.629241,242,6632.069618,117765.816044,1711.883554,130.818109,338.202775,860.727079,31978.467893,-3.233875,18697.205571,516.626548,16.868400,-19.531830,5.566678
m07_s06_e05_positions_inc.txt.gz,m07,s06,e05,1,-8.845678,2.300000,4573.418745,33332.297353,1076.901154,230,9958.304891,203988.417865,1852.456241,93.562199,377.529528,970.403180,44255.853800,-3.151491,29112.515328,529.269060,-15.886439,3.756995,-2.921776
m07_s06_e06_positions_inc.txt.gz,m07,s06,e06,1,-9.096466,2.210000,5786.044744,45619.459520,1177.712679,221,12795.049003,263236.593996,2068.708803,110.190581,418.546525,996.153984,59481.714054,-3.217159,38169.873198,644.847203,-0.854908,3.510112,-10.199845
m07_s06_e07_positions_inc.txt.gz,m07,s06,e07,1,-8.761803,2.380000,4278.631988,28926.594226,1074.236822,238,8004.501983,147582.811112,1733.517556,30.084977,394.099607,989.799872,37728.025679,-2.892112,24220.984046,498.527026,12.054800,13.918034,-3.110306
m07_s06_e08_positions_inc.txt.gz,m07,s06,e08,1,-9.015520,2.380000,4640.071040,37056.559090,1024.421273,238,10379.900695,219286.287823,1979.197031,95.300079,339.131880,935.092045,48901.124489,-3.079777,31908.171440,564.371316,-11.786308,-0.437470,0.306837
m07_s06_e09_positions_inc.txt.gz,m07,s06,e09,1,-10.441376,5.040000,2215.887499,15906.090472,521.307093,504,7550.631470,159766.497485,1520.912477,58.480985,376.101796,981.988920,24875.652088,-2.909949,19125.751036,583.082733,11.050723,-1.837111,11.762710
m07_s06_e10_positions_inc.txt.gz,m07,s06,e10,1,-9.652757,3.250000,2009.505865,18838.572517,363.040943,325,7541.382488,135765.506342,1274.290744,164.431332,321.205008,418.366098,27133.956883,-3.601516,19528.435720,405.133867,11.729248,7.829270,11.443433
m07_s07_e01_positions_inc.txt.gz,m07,s07,e01,1,-9.888508,1.880000,279.499682,3121.289061,39.364163,188,500.094394,5573.841457,61.909939,14.052042,21.930257,16.096933,3371.209983,-2.730079,1273.817626,14.121315,4.968192,3.530533,6.185178
m07_s07_e02_positions_inc.txt.gz,m07,s07,e02,1,-9.062798,2.190000,278.922334,2941.213022,50.354092,219,695.989975,11113.531683,120.361224,37.378627,21.688618,29.566251,3449.706132,-2.506165,1802.703068,29.078932,15.055727,2.117789,4.007348
m07_s07_e03_positions_inc.txt.gz,m07,s07,e03,1,-9.281781,1.910000,229.188138,2746.583489,36.323019,191,656.857512,14362.644069,88.615251,29.362346,19.829709,11.516011,3479.137854,-3.509959,2135.574711,24.300095,-11.410441,-0.445236,-2.944264
m07_s07_e04_positions_inc.txt.gz,m07,s07,e04,1,-8.588292,2.580000,709.353802,5313.762870,159.703858,258,1769.704815,13201.392241,345.757452,72.148857,61.787570,167.263590,6113.160947,-2.210755,3022.360158,82.087966,15.736264,1.713037,4.695257
m07_s07_e05_positions_inc.txt.gz,m07,s07,e05,1,-8.193599,2.710000,582.220393,4255.507583,173.552437,271,1707.094348,16030.872989,371.801466,58.967719,89.838506,191.491895,5012.732945,-2.258790,2649.178512,84.518882,-5.878142,-0.481128,-3.459933
m07_s07_e06_positions_inc.txt.gz,m07,s07,e06,1,-8.612978,2.070000,547.679200,5399.388407,125.597998,207,1135.050097,16003.930678,237.079713,58.215607,65.440644,106.856018,5905.044808,-2.709917,2390.849017,48.935259,-28.508852,11.441629,-11.601941
m07_s07_e07_positions_inc.txt.gz,m07,s07,e07,1,-9.678045,2.520000,412.535928,3942.782561,82.003621,252,961.538449,17645.481000,149.970106,52.039747,83.639876,32.345117,4736.577023,-2.597508,2624.810006,23.948884,4.626124,-16.401948,3.786981
m07_s07_e08_positions_inc.txt.gz,m07,s07,e08,1,-9.340359,2.280000,399.641666,3895.669757,72.984064,228,1101.683333,13234.489338,147.979746,52.557568,42.574137,46.787321,4587.046395,-2.822253,2421.724959,29.557897,9.016110,7.710098,5.404890
m07_s07_e09_positions_inc.txt.gz,m07,s07,e09,1,-8.176057,2.280000,473.149617,3855.046362,158.005383,228,1410.314350,12161.645337,249.853358,44.006301,82.511180,162.995830,4327.042304,-2.351795,1965.174965,63.985827,9.321900,-7.915898,8.991626
m07_s07_e10_positions_inc.txt.gz,m07,s07,e10,1,-7.503135,1.900000,1320.013439,14072.990920,219.871554,190,6992.773677,138688.584274,1494.595774,143.055472,205.658671,115.296514,24304.042411,-2.153830,19815.080219,307.837694,75.521537,110.921701,4.722697
m07_s08_e01_positions_inc.txt.gz,m07,s08,e01,1,-8.119938,1.340000,7170.213219,70516.606207,1129.966663,134,14346.692499,177483.187610,2185.764713,62.322375,446.839051,546.846843,81689.899880,-2.865928,41238.913559,665.128984,-17.577816,25.740360,2.779333
m07_s08_e02_positions_inc.txt.gz,m07,s08,e02,1,-8.608570,1.750000,6144.154092,54630.773478,992.587180,175,13712.374483,142680.349303,1933.895324,362.201496,251.945155,640.147297,61830.562850,-2.635792,28956.814249,660.505323,30.726985,-6.707389,11.259080
m07_s08_e03_positions_inc.txt.gz,m07,s08,e03,1,-8.425863,1.640000,6228.560863,57891.175977,1137.987615,164,11292.192665,214606.626898,2065.408728,350.761262,393.523263,663.010523,66434.405580,-2.490506,32590.519922,561.678132,-64.044137,-12.315118,-4.744091
m07_s08_e04_positions_inc.txt.gz,m07,s08,e04,1,-8.226949,1.650000,6410.278822,53243.376621,1223.206787,165,9019.759038,161386.870245,2033.069664,112.347697,400.970970,813.376230,58665.891328,-2.596053,24633.912626,551.351426,41.058830,29.668941,-10.596926
m07_s08_e05_positions_inc.txt.gz,m07,s08,e05,1,-8.304050,1.860000,6045.339458,46138.125695,1210.945370,186,8368.468271,148064.876076,1989.997616,384.489044,244.327727,900.167604,49863.724313,-2.543518,18912.016279,563.674865,-47.066130,-15.977757,16.520036
m07_s08_e06_positions_inc.txt.gz,m07,s08,e06,1,-8.583043,1.820000,7100.256991,59347.815080,1331.596890,182,9679.044902,181048.758581,2168.682078,335.294913,303.626908,909.095033,64546.541223,-2.612684,25378.984003,598.972194,28.170423,27.988685,4.368904
m07_s08_e07_positions_inc.txt.gz,m07,s08,e07,1,-8.638632,1.830000,6728.138570,60859.345540,1334.885712,183,10203.150637,176481.913013,2265.766892,232.290509,327.686947,958.742529,68769.141857,-2.676471,32020.851521,633.732510,4.401025,-21.880015,-13.871699
m07_s08_e08_positions_inc.txt.gz,m07,s08,e08,1,-8.562169,1.790000,7675.711955,67262.181846,1382.983455,179,12138.559548,196355.026124,2574.172222,90.516295,357.083164,956.096074,77733.721976,-2.710489,38965.759657,702.732600,-36.555684,-6.468739,-10.437782
m07_s08_e09_positions_inc.txt.gz,m07,s08,e09,1,-8.594351,1.780000,7151.230111,58233.703766,1441.172994,178,10698.611677,230804.889776,2156.710870,386.009144,425.230212,961.709673,66742.341804,-2.738120,32609.445490,594.428338,64.806076,8.160411,4.552134
m07_s08_e10_positions_inc.txt.gz,m07,s08,e10,1,-8.842175,1.560000,7668.744629,72305.747606,1224.032808,156,14832.054199,306652.609811,2085.519522,260.371718,289.210914,768.333071,89039.203377,-2.999827,51960.163598,635.135257,-38.472210,14.306741,-0.381049
m07_s09_e01_positions_inc.txt.gz,m07,s09,e01,1,-8.352714,1.570000,5121.530300,48096.328017,978.484894,157,9929.388719,215075.285568,1709.024370,65.873799,396.573015,587.619891,56580.610119,-2.743210,29801.152205,477.025073,-12.469597,5.323657,-14.707467
m07_s09_e02_positions_inc.txt.gz,m07,s09,e02,1,-8.482919,1.810000,4642.756861,40693.810581,867.118516,181,8392.303020,124097.590056,1611.788073,86.028196,392.583670,583.357670,46007.902693,-2.930581,21464.875742,537.168167,-6.154551,4.249119,-0.720179
m07_s09_e03_positions_inc.txt.gz,m07,s09,e03,1,-8.434018,2.190000,2884.266608,22992.935448,712.015398,219,5580.267279,122616.303272,1303.955284,64.745857,399.949210,585.239284,27291.051797,-3.035715,14701.238984,402.025465,3.008683,-0.368213,5.556008
m07_s09_e04_positions_inc.txt.gz,m07,s09,e04,1,-8.014888,1.970000,3852.598392,27064.033491,901.402647,197,6061.584067,97936.954970,1614.877648,138.316355,357.532488,700.669722,32125.587631,-2.567668,17308.710865,429.068566,1.141842,-3.769938,-4.203992
m07_s09_e05_positions_inc.txt.gz,m07,s09,e05,1,-8.427913,1.960000,4438.360728,33956.933674,970.533092,196,9258.794117,188362.478889,1730.835441,127.329696,365.595687,757.028633,42654.976405,-2.807772,25814.214448,471.927475,4.465410,-11.709888,3.298809
m07_s09_e06_positions_inc.txt.gz,m07,s09,e06,1,-8.384531,1.950000,3388.429014,26279.506246,829.075472,195,8235.232646,167632.188707,1495.013430,108.000488,335.903358,652.250072,36330.466325,-2.912643,25085.659945,384.036308,6.075394,-6.950941,9.373951
m07_s09_e07_positions_inc.txt.gz,m07,s09,e07,1,-8.858856,1.880000,3329.095519,34766.424729,596.540470,188,12391.112456,254173.719417,1556.871737,68.429140,408.490429,332.128430,50663.142858,-2.962537,36851.726633,414.370875,10.956105,24.339441,0.341070
m07_s09_e08_positions_inc.txt.gz,m07,s09,e08,1,-9.088813,3.090000,3258.746659,24421.736562,611.798345,309,7729.816962,74002.410450,1777.016699,61.761476,422.253366,660.648145,30786.797673,-2.509371,18745.818047,547.877315,-12.673860,-6.116588,-9.158472
m07_s09_e09_positions_inc.txt.gz,m07,s09,e09,1,-8.981501,2.200000,7642.739874,59554.103998,1427.587382,220,12215.997547,130677.747669,2455.947321,120.330339,703.301668,1028.636722,67126.383191,-2.517150,30971.923050,768.738460,14.198555,34.192369,-3.426499
m07_s09_e10_positions_inc.txt.gz,m07,s09,e10,1,-8.551691,2.200000,6937.122461,49785.977877,1302.785559,220,11642.605057,113548.376305,2537.657272,120.013554,495.730764,1017.983217,55946.772833,-2.558467,25522.495907,717.836616,-14.936047,-31.405963,3.357745
m07_s10_e01_positions_inc.txt.gz,m07,s10,e01,1,-8.521475,1.530000,250.183575,2412.269048,38.827194,153,514.164286,5946.833544,73.329964,15.936945,12.489787,13.880093,2745.737676,-2.319564,1311.500447,16.534376,2.857458,-2.927556,0.158486
m07_s10_e02_positions_inc.txt.gz,m07,s10,e02,1,-9.749259,1.780000,227.313452,2307.342417,29.294970,178,378.136874,7930.662142,46.381425,14.293944,17.133525,9.300514,2557.047523,-2.519844,1102.117509,9.982357,6.605743,7.970724,-3.237662
m07_s10_e03_positions_inc.txt.gz,m07,s10,e03,1,-10.484069,2.500000,330.792576,3376.255225,45.136093,250,577.103004,10548.736530,78.324625,26.045211,20.976517,7.934626,3746.061768,-3.274649,1622.923110,16.637106,-2.850259,-6.669931,-0.192887
m07_s10_e04_positions_inc.txt.gz,m07,s10,e04,1,-8.599818,1.840000,491.872842,4112.117203,89.046119,184,872.191002,13983.410487,153.021887,31.585621,29.485591,56.146523,4518.075476,-2.167101,1871.763373,36.118734,3.560672,3.925018,3.720074
m07_s10_e05_positions_inc.txt.gz,m07,s10,e05,1,-8.654472,2.120000,511.431373,4210.604667,94.332348,212,984.338566,13046.693594,185.074364,57.520034,45.386213,58.256546,4540.849517,-2.274382,1700.036080,49.258816,-12.768820,-0.575294,0.944818
m07_s10_e06_positions_inc.txt.gz,m07,s10,e06,1,-9.798889,2.600000,500.337610,4162.747589,78.165203,260,909.133420,10528.807658,140.796853,42.438261,34.265873,49.300709,4507.489069,-2.763608,1728.869636,35.440950,9.705734,4.092179,1.879188
m07_s10_e07_positions_inc.txt.gz,m07,s10,e07,1,-7.795112,2.010000,985.334344,6407.425811,219.763361,201,2072.565990,19469.937182,413.369058,77.345810,116.210560,148.303427,7148.764300,-2.336558,3170.130201,108.873260,18.069360,-10.137896,4.823116
m07_s10_e08_positions_inc.txt.gz,m07,s10,e08,1,-8.412762,2.130000,1282.407059,8002.774573,263.573021,213,2044.192294,29347.700414,416.035829,77.366758,118.400286,179.427390,8981.924741,-3.019361,4078.059733,100.758790,-4.580434,-9.074252,4.550323
m07_s10_e09_positions_inc.txt.gz,m07,s10,e09,1,-8.525846,2.110000,1310.598780,8391.754911,264.139531,211,2219.843148,33178.806698,400.047764,75.510431,135.416863,165.003542,9269.408098,-3.467420,3937.051690,92.176707,-10.271676,-13.639340,-7.331861
m07_s10_e10_positions_inc.txt.gz,m07,s10,e10,1,-8.402757,1.870000,1053.454447,8633.951508,168.476928,187,1847.347050,20204.934080,350.845161,51.429747,66.653742,84.335038,9161.962462,-2.903839,3065.360912,61.604670,15.668457,35.192240,0.573557
m08_s01_e01_positions_inc.txt.gz,m08,s01,e01,1,-7.380132,1.340000,1171.967169,11156.679303,282.905674,134,1990.164551,32366.393947,479.207104,174.565091,139.027940,21.770430,12372.042055,-2.550675,5347.516390,143.555890,42.743621,39.925143,3.045629
